gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
b0929	19765.11153358119	-7.864680989873734	0.19589686741983509	-40.2462099483831	0.0	0.0
b3508	1228.4245741559514	5.590915422190309	0.19694657214184538	28.43017792675682	8.569095149757121e-178	1.7073922085891062e-174
b3510	21867.39848455376	4.8805737084239835	0.17382050081104763	28.164112029512697	1.6097941900417635e-174	2.138343282438809e-171
b3125	1496.3363308599746	-3.620079140612367	0.14088695334721407	-25.78232705342198	1.3996889912886257e-146	1.3944401575712934e-143
b1492	26827.611923007487	6.276710571610125	0.24652829145058966	25.56038106249628	4.2095412326713767e-144	3.355004362439087e-141
b0553	5678.679706897074	-4.114913878080936	0.1616480407181893	-25.54710026118995	5.91354784775957e-144	3.927581362220314e-141
b3127	1062.2915224736203	-6.918815193522857	0.2712691095843056	-25.514941590297937	1.3457619082468697e-143	7.661230291948251e-141
b3509	8083.623359566635	4.845863486594274	0.1933695403871928	25.180783618304872	6.504783073896683e-140	3.2401950686847852e-137
b1493	28137.08554350141	6.648789591677835	0.2700123878322376	24.711319087535585	8.082153237815059e-135	3.5785978502992236e-132
b3514	5001.5481510981845	5.313928398247891	0.21683896538433917	24.60519367516283	1.1114278961675963e-133	4.4290401662278716e-131
b3126	846.1443444749311	-4.833319786279317	0.2030608714328943	-23.937290659612945	1.2533414089119785e-126	4.5405141041038495e-124
b1743	1367.0575122255875	5.671695819497418	0.24461457550744045	23.47702246122313	7.003918872722486e-122	2.3258847256499254e-119
b2150	15808.38031738122	-3.5482598242146395	0.15260114231632113	-23.349961076278486	1.3794123467662088e-120	4.228429386048725e-118
b3511	2760.587841252382	4.216927769868896	0.18530891990813786	22.88459887962529	6.61461705683757e-116	1.882803497964123e-113
b4311	692.71493590077	-6.667566005424985	0.31181630407381455	-21.50109826332601	1.5204697245893327e-102	4.0393812349923277e-100
b0598	6868.489514160702	-3.3771896454446724	0.15794078561348146	-21.496419427481197	1.6817336251593343e-102	4.188567810162467e-100
b1015	4284.7643554688775	-4.378584907110841	0.21048794892647069	-20.913744794592837	4.014536983039518e-97	9.410546986713223e-95
b0565	1861.952296394138	-3.9182094979338062	0.1888003764018117	-20.871487810526258	9.725919068727919e-97	2.153210416048931e-94
b2809	1210.1682124886927	4.44181992678814	0.21489404026368303	20.627845925696867	1.5437510986894546e-94	3.237814804356567e-92
b0485	5113.653951206755	3.3836895695695324	0.16593179396044636	20.501146620030674	2.1028000835120044e-93	4.189829166397669e-91
b3124	650.9106177246664	-3.4574858406033604	0.17116951138340836	-20.309273242002075	1.0646805404063991e-91	2.020358073104524e-89
b4466	1622.018044903751	-3.0506038790002314	0.15256316067513215	-20.104330395759348	6.762701571667055e-90	1.2249711710496914e-87
b0486	3947.5229789688915	3.794700895506459	0.19277633588571919	19.774177364211457	4.968650784017766e-87	8.608727554048173e-85
b0557	593.5578558534733	-4.905829114758232	0.250041566133741	-19.752898992715586	7.574258380804127e-87	1.2576424853126851e-84
b3513	2218.7830056387925	5.161358398856143	0.2717452153075714	19.12948503837846	1.4348454055596493e-81	2.287143576462081e-79
b2470	965.174919454223	3.6174479509986934	0.19898098569932834	18.267891558642262	1.491012072877524e-74	2.2852627347757437e-72
b3128	1417.6272407761107	-3.7023260007720116	0.20612856676234037	-18.091266748351796	3.734046395960917e-73	5.511175884408982e-71
b0306	609.3314311437689	-4.852183519741285	0.27695233767363603	-17.681005691136836	5.873903984598035e-70	8.35982406379399e-68
