gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	significance
b0929	19822.1741999096	-7.87344896448427	0.196266675079017	0	0	Down
b3508	1227.04731288444	5.58607983993342	0.195960209955177	1.49067250585796e-179	2.75625346333137e-176	Up
b3510	21843.031927732	4.87329354863086	0.173804475267963	2.37927325059024e-174	2.93285082689424e-171	Up
b3125	1499.94077789792	-3.62597179194886	0.138260554104994	1.00137589041349e-152	9.25772010687273e-150	Down
b0553	5692.5367669701	-4.12070175546647	0.160281999328224	6.37307578177459e-147	4.71352684820048e-144	Down
b3127	1065.56292798323	-6.92516575577059	0.2716669242378	1.55477507852748e-143	9.58259706732435e-141	Down
b1492	26795.6190093305	6.27240417491256	0.249484939108846	8.58515882051486e-141	4.53541675975199e-138	Up
b3509	8074.55274779025	4.84111974328239	0.194631525387904	2.70963489652009e-138	1.25252873091641e-135	Up
b1493	28103.035258075	6.64721624398556	0.272692755960453	3.11935261285038e-132	1.28170732914675e-129	Up
b3514	4995.00593397608	5.3153340290062	0.218336051090395	3.82962763377024e-132	1.41619629896824e-129	Up
b3126	848.31890705158	-4.84870321812828	0.202052495072691	8.95472551457409e-129	3.01041590480863e-126	Down
b2150	15846.8673370768	-3.55324596477825	0.15122627260399	3.03728013565914e-123	9.35988495138957e-121	Down
b1743	1364.85039634056	5.67753135378732	0.245470992036222	1.70907475692659e-121	4.86166034701117e-119	Up
b3511	2757.38658889513	4.21045265629391	0.185772214296542	3.27313021514383e-115	8.64573966828707e-113	Up
b0598	6884.89652660327	-3.38549802994607	0.156760440573002	1.3263955948111e-104	3.2700072730743e-102	Down
b4311	694.3507459186	-6.67228512074921	0.312657343266865	3.00707240252178e-102	6.95009609032847e-100	Down
b0565	1866.56758529477	-3.92613920012307	0.189245953943319	7.4478848089238e-97	1.62013400137648e-94	Down
b1015	4295.00803139842	-4.38681622970837	0.211476646313201	8.79710043342426e-97	1.80731541126683e-94	Down
b2809	1208.47586909284	4.43866991524663	0.214555944144887	6.52765847294288e-95	1.27048847541804e-92	Up
b3124	652.262799873684	-3.46316300817117	0.169009023276785	2.05783489134271e-94	3.80493671409268e-92	Down
b0485	5108.73477505085	3.37832912543577	0.165604801075533	1.25996465259814e-93	2.21873775490853e-91	Up
b4466	1625.39093496109	-3.06092337634763	0.150653634041373	7.37090240704358e-93	1.23898168642033e-90	Down
b0486	3943.34608228416	3.79051036093827	0.19291415680857	6.36595364996671e-87	1.02353463467726e-84	Up
b0557	595.456829939938	-4.9120746401915	0.251436963107108	2.87827004327411e-86	4.43493442501152e-84	Down
b3513	2216.12400816191	5.15530810446255	0.274967313339222	9.62756363788529e-80	1.42410921331599e-77	Up
b2470	963.698119486125	3.62342429636767	0.1995883292692	1.55071869958684e-74	2.20559913502775e-72	Up
b3128	1421.17631474609	-3.71011221216117	0.206921237944804	4.51540793240998e-73	6.18443649409337e-71	Down
b0344	1898.12085008868	-2.46939249517006	0.140775629469427	6.71464104479947e-70	8.86812235131016e-68	Down
b0306	611.03705474579	-4.85769390849216	0.279317660935808	4.03128304747908e-69	5.14058093433711e-67	Down
b0307	1652.30890472245	-3.75868804761445	0.216008501949578	5.2132131550208e-69	6.42615408242231e-67	Down
b3506	2611.42161992552	3.65355906274585	0.226659992760447	1.11423941055614e-59	1.32917978717309e-57	Up
b3917	539.345942690417	-3.87789561491316	0.242318034691493	1.12197928255557e-58	1.29658730840328e-56	Down
b0679	10592.4986437764	-2.4488099077345	0.153432301694204	2.2937580668563e-58	2.57039919128322e-56	Down
b4377	3176.0841544498	3.14105344272522	0.197685226886635	6.45287173551604e-58	7.0184469640995e-56	Up
b2789	220.035902148881	-4.30210437726381	0.277733349556001	4.04415640239452e-55	4.27294010744427e-53	Down
b0608	409.159119578673	3.4394223379554	0.228621892474084	2.62468378038543e-52	2.69613350551815e-50	Up
b1110	294.9802901713	5.4773589235701	0.37357964361694	9.89570360847121e-52	9.89035457949365e-50	Up
b2053	251.630674100518	4.21803339337795	0.28272036395476	2.76779645943963e-51	2.69350297552835e-49	Up
b1498	2336.0654677229	-3.90219103261567	0.262486643074533	4.19166656885696e-51	3.97455973631616e-49	Down
b1732	16534.1198390514	2.0699509753438	0.142241345251691	5.77519228274028e-49	5.33916526539339e-47	Up
b3116	463.511641313943	-2.77592789705423	0.192136394637995	3.04096861619123e-48	2.74280535187199e-46	Down
b3517	24117.0479548926	6.63264479368539	0.463195832710574	1.03351980682342e-47	9.09989582293569e-46	Up
b4484	1625.20887492603	2.45808903821615	0.17205904036744	3.80182930221753e-47	3.26957319990708e-45	Up
b4310	572.988204753742	-3.3591963867858	0.237344795886647	1.64190948503062e-46	1.37995028991892e-44	Down
b0308	1043.96597618777	-3.92495937307359	0.279493983886338	4.63999210348258e-46	3.81304239970635e-44	Down
b4321	311.317096792878	-2.65508274146161	0.188961749098318	6.35748322286643e-46	5.11086368655654e-44	Down
b3117	198.272953203883	-4.11898168974646	0.294192209786939	9.27631711842204e-46	7.2986852561542e-44	Down
b3528	12939.6329875999	-1.92118134456717	0.137032601071502	1.48528060340626e-45	1.12093217783599e-43	Down
